disease	alpha	l1_ratio	pearson_r	mse	r2	model_run	r2_mean	pearson_r_mean	mse_mean
Alcoholic_liver_disease	10.0	0.01	0.0	17.97950363995648	-0.013927572348250372	10.00000-0.01000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.01	0.0	18.309417693631833	-0.015590359027474188	10.00000-0.01000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.01	0.0	25.99080591608804	-0.012774869684951673	10.00000-0.01000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.01	0.0	17.562466915530813	-4.17187017691667e-05	10.00000-0.01000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.01	0.0	15.48311530892757	-0.0005694303833672087	10.00000-0.01000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.01	0.0	22.04153288576654	-0.0067603054496383486	10.00000-0.01000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.01	0.0	20.925443521337158	-0.0004245720980067258	10.00000-0.01000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.01	0.0	16.405147106720445	-0.0005982392734367181	10.00000-0.01000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.005	0.0	16.798757314829295	-8.516379384704287e-05	10.00000-0.00500	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.005	0.0	21.48318364601333	-0.0025749357376025905	10.00000-0.00500	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.005	0.0	17.97950363995648	-0.013927572348250372	10.00000-0.00500	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.005	0.0	18.309417693631833	-0.015590359027474188	10.00000-0.00500	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.005	0.0	25.99080591608804	-0.012774869684951673	10.00000-0.00500	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.005	0.0	17.562466915530813	-4.17187017691667e-05	10.00000-0.00500	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.005	0.0	15.48311530892757	-0.0005694303833672087	10.00000-0.00500	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.005	0.0	22.04153288576654	-0.0067603054496383486	10.00000-0.00500	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.005	0.0	20.925443521337158	-0.0004245720980067258	10.00000-0.00500	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.005	0.0	16.405147106720445	-0.0005982392734367181	10.00000-0.00500	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	10.0	0.001	-0.07568300006293663	16.798761946597036	-8.543953818418437e-05	10.00000-0.00100	-0.005334633569052194	0.056071743075943224	19.297935816367097
Alcoholic_liver_disease	10.0	0.001	0.14187801952322357	21.483178165394435	-0.002574679968661453	10.00000-0.00100	-0.005334633569052194	0.056071743075943224	19.297935816367097
Alcoholic_liver_disease	10.0	0.001	0.045608975703030456	17.979497947129016	-0.013927251309647337	10.00000-0.00100	-0.005334633569052194	0.056071743075943224	19.297935816367097
Alcoholic_liver_disease	10.0	0.001	0.17070518271683865	18.30941085718949	-0.015589979822354216	10.00000-0.00100	-0.005334633569052194	0.056071743075943224	19.297935816367097
Alcoholic_liver_disease	10.0	0.001	-0.026150364082081694	25.990809702954337	-0.012775017246479115	10.00000-0.00100	-0.005334633569052194	0.056071743075943224	19.297935816367097
Alcoholic_liver_disease	10.0	0.001	0.18285455425001423	17.56246461908873	-4.158793779973635e-05	10.00000-0.00100	-0.005334633569052194	0.056071743075943224	19.297935816367097
Alcoholic_liver_disease	10.0	0.001	-0.01370999336970946	15.483116515677942	-0.0005695083675136825	10.00000-0.00100	-0.005334633569052194	0.056071743075943224	19.297935816367097
Alcoholic_liver_disease	10.0	0.001	0.009381461272995857	22.041532062722293	-0.006760267856596114	10.00000-0.00100	-0.005334633569052194	0.056071743075943224	19.297935816367097
Alcoholic_liver_disease	10.0	0.001	0.12331928878914013	20.925439471625122	-0.0004243784853157351	10.00000-0.00100	-0.005334633569052194	0.056071743075943224	19.297935816367097
Alcoholic_liver_disease	10.0	0.001	0.0025133060189170913	16.405146875292587	-0.0005982251579703668	10.00000-0.00100	-0.005334633569052194	0.056071743075943224	19.297935816367097
Alcoholic_liver_disease	10.0	0.0001	0.1889557341572578	16.79860035003586	-7.581916446697257e-05	10.00000-0.00010	-0.005324446437197783	0.2390765659951018	19.29774932040907
Alcoholic_liver_disease	10.0	0.0001	0.2261783884765363	21.482983391361365	-0.002565590274745233	10.00000-0.00010	-0.005324446437197783	0.2390765659951018	19.29774932040907
Alcoholic_liver_disease	10.0	0.0001	0.3022748657240746	17.979257828965398	-0.013913710200193607	10.00000-0.00010	-0.005324446437197783	0.2390765659951018	19.29774932040907
Alcoholic_liver_disease	10.0	0.0001	0.35522852936198085	18.309190735175495	-0.015577770051461215	10.00000-0.00010	-0.005324446437197783	0.2390765659951018	19.29774932040907
Alcoholic_liver_disease	10.0	0.0001	0.033833346652924055	25.990769427285	-0.01277344783820844	10.00000-0.00010	-0.005324446437197783	0.2390765659951018	19.29774932040907
Alcoholic_liver_disease	10.0	0.0001	0.36909038968686075	17.562203313279625	-2.670866647069836e-05	10.00000-0.00010	-0.005324446437197783	0.2390765659951018	19.29774932040907
Alcoholic_liver_disease	10.0	0.0001	0.2703575917961154	15.48293096297388	-0.0005575173463461258	10.00000-0.00010	-0.005324446437197783	0.2390765659951018	19.29774932040907
Alcoholic_liver_disease	10.0	0.0001	0.21145169175505	22.041325304709424	-0.006750824059684746	10.00000-0.00010	-0.005324446437197783	0.2390765659951018	19.29774932040907
Alcoholic_liver_disease	10.0	0.0001	0.18361442263849942	20.925280757356184	-0.0004167905145076034	10.00000-0.00010	-0.005324446437197783	0.2390765659951018	19.29774932040907
Alcoholic_liver_disease	10.0	0.0001	0.24978069970171887	16.404951132948476	-0.000586286255893187	10.00000-0.00010	-0.005324446437197783	0.2390765659951018	19.29774932040907
Alcoholic_liver_disease	9.111627561154895	0.99	0.0	16.798757314829295	-8.516379384704287e-05	9.11163-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.99	0.0	21.48318364601333	-0.0025749357376025905	9.11163-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.99	0.0	17.97950363995648	-0.013927572348250372	9.11163-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.99	0.0	18.309417693631833	-0.015590359027474188	9.11163-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.99	0.0	25.99080591608804	-0.012774869684951673	9.11163-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.99	0.0	17.562466915530813	-4.17187017691667e-05	9.11163-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.99	0.0	15.48311530892757	-0.0005694303833672087	9.11163-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.99	0.0	22.04153288576654	-0.0067603054496383486	9.11163-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.99	0.0	20.925443521337158	-0.0004245720980067258	9.11163-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.99	0.0	16.405147106720445	-0.0005982392734367181	9.11163-0.99000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.95	0.0	16.798757314829295	-8.516379384704287e-05	9.11163-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.95	0.0	21.48318364601333	-0.0025749357376025905	9.11163-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.95	0.0	17.97950363995648	-0.013927572348250372	9.11163-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.95	0.0	18.309417693631833	-0.015590359027474188	9.11163-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.95	0.0	25.99080591608804	-0.012774869684951673	9.11163-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.95	0.0	17.562466915530813	-4.17187017691667e-05	9.11163-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.95	0.0	15.48311530892757	-0.0005694303833672087	9.11163-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.95	0.0	22.04153288576654	-0.0067603054496383486	9.11163-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.95	0.0	20.925443521337158	-0.0004245720980067258	9.11163-0.95000	-0.005334716649834403	0.0	19.29793739488015
Alcoholic_liver_disease	9.111627561154895	0.95	0.0	16.405147106720445	-0.0005982392734367181	9.11163-0.95000	-0.005334716649834403	0.0	19.29793739488015
