0.99	0.98	0.98	0.99	0.99	0.98	0.92	0.87	0.85	0.73	0.64	0.63	0.52	0.38	0.21	0.16	0.04	0.01	0.01	0.0	small.intestine_proximal.enterocytes
0.84	0.77	0.75	0.76	0.74	0.68	0.75	0.69	0.72	0.51	0.56	0.48	0.4	0.41	0.29	0.14	0.04	0.01	0.0	0.0	lung_fibroblasts
0.08	0.01	0.04	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	thymus_endothelial.cells
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	esophagus_macrophages
0.08	0.02	0.04	0.05	0.06	0.05	0.05	0.06	0.02	0.04	0.01	0.02	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	adipose.tissue_fibroblasts
0.25	0.16	0.18	0.07	0.16	0.1	0.03	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	prostate_endothelial.cells
0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	stomach_fibroblasts
0.56	0.5	0.58	0.47	0.44	0.49	0.37	0.28	0.22	0.12	0.11	0.09	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	skin_fibroblasts
0.48	0.46	0.38	0.3	0.39	0.38	0.29	0.26	0.27	0.21	0.12	0.07	0.04	0.02	0.0	0.0	0.0	0.0	0.0	0.0	lung_endothelial.cells
0.83	0.74	0.61	0.66	0.44	0.3	0.17	0.08	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	fallopian.tube_plasma.cells
0.5	0.53	0.54	0.39	0.39	0.37	0.4	0.22	0.21	0.2	0.1	0.09	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.0	skin_langerhans.cells
0.14	0.11	0.05	0.04	0.02	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	bone.marrow_macrophages
0.33	0.43	0.36	0.38	0.41	0.35	0.33	0.3	0.21	0.21	0.22	0.06	0.13	0.03	0.04	0.0	0.0	0.0	0.0	0.0	breast_fibroblasts
0.5	0.44	0.25	0.17	0.08	0.05	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	salivary.gland_plasma.cells
0.21	0.18	0.18	0.09	0.09	0.13	0.08	0.11	0.06	0.07	0.01	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	fallopian.tube_fibroblasts
0.32	0.29	0.18	0.19	0.2	0.15	0.13	0.13	0.11	0.06	0.06	0.06	0.06	0.03	0.01	0.0	0.0	0.0	0.0	0.0	testis_macrophages
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	esophagus_plasma.cells
0.37	0.4	0.23	0.16	0.05	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ovary_lymphatic.endothelial.cells
0.83	0.77	0.78	0.78	0.65	0.65	0.54	0.58	0.53	0.38	0.28	0.35	0.19	0.1	0.06	0.03	0.02	0.01	0.0	0.0	liver_kupffer.cells
0.38	0.46	0.37	0.33	0.38	0.26	0.22	0.15	0.1	0.06	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	breast_endothelial.cells
0.15	0.18	0.19	0.12	0.04	0.07	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	endometrium_smooth.muscle.cells
