P_value,logOR,OR,gene
1.0,0.019010969,1.0191928280822253,ENSG00000167083
0.004338094,0.05744258,1.0591244539825546,ENSG00000167740
1.0,-0.037622922,0.9630760272131548,ENSG00000183166
1.0,0.021227775,1.0214546869835925,ENSG00000116815
1.0,0.009016845,1.009057619206302,ENSG00000105559
0.416120963,-0.033404,0.9671477529592128,ENSG00000185739
1.0,-0.020978952,0.9792395753871335,ENSG00000135823
0.0066666,-0.075087862,0.9276619765112173,ENSG00000105223
1.0,0.013784788,1.0138802362638586,ENSG00000177600
0.044824945,0.050962989,1.052283946481335,ENSG00000188393
1.0,0.042080996,1.042978952452934,ENSG00000132514
0.001221006,0.051571838,1.0529248235887616,ENSG00000140905
1.0,-0.023723139,0.9765560426163846,ENSG00000177951
1.0,-0.034639205,0.9659538647191767,ENSG00000133321
1.0,0.01163976,1.0117077656066082,ENSG00000145192
1.48909e-13,-0.03566,0.9649683269454359,ENSG00000172179
1.0,-0.009844118,0.990204176726686,ENSG00000156219
0.011120043,-0.038798101,0.9619449052561332,ENSG00000145879
1.0,-0.006604277,0.993417483307295,ENSG00000172551
1.0,-0.025775802,0.9745535580763511,ENSG00000185499
3.6576e-07,0.071558996,1.0741815212450185,ENSG00000165623
1.0,0.027763665,1.0281526672452106,ENSG00000136487
6.5341e-103,0.288410783,1.3343053014963406,ENSG00000087085
1.0,-0.0407175,0.9601003199807978,ENSG00000185737
1.0,0.026509408,1.0268639079518842,ENSG00000188906
1.0,-0.035602896,0.9650234320701243,ENSG00000242252
0.022985099,0.055838297,1.057426680844571,ENSG00000113525
4.88765e-06,0.069008004,1.0714447849580846,ENSG00000167588
1.0,0.001347394,1.0013483021431253,ENSG00000111674
1.0,0.010556126,1.0106120384645485,ENSG00000105205
1.0,-0.029298446,0.9711265923661867,ENSG00000156239
1.99291e-19,-0.118239091,0.8884835987856129,ENSG00000160209
1.0,0.032135051,1.0326569572430773,ENSG00000136869
9.25987e-06,0.073165847,1.0759089583919834,ENSG00000134193
1.0,-0.047678564,0.9534402078341807,ENSG00000106211
1.0,0.022226052,1.0224748908424501,ENSG00000133048
4.68562e-11,-0.105225297,0.900121705020253,ENSG00000074800
0.949226657,0.038313891,1.0390573324410988,ENSG00000218336
3.04148e-05,0.069896861,1.072397569537199,ENSG00000165124
0.226681481,-0.04988979,0.9513342652727329,ENSG00000183160
1.0,0.03346969,1.0340361016170512,ENSG00000174695
1.0,-0.022328146,0.9779192820936337,ENSG00000185742
1.0,-0.034768593,0.9658288899658194,ENSG00000006282
6.1515e-27,-0.120987713,0.8860448463590198,ENSG00000124839
5.49454e-13,-0.097316419,0.9072688835972764,ENSG00000090971
1.0,0.022680746,1.0229399097531093,ENSG00000188730
0.773529301,-0.057775338,0.9438619735375017,ENSG00000090487
1.0,-0.001805256,0.9981963724945156,ENSG00000038382
1.0,0.02630516,1.0266541944699217,ENSG00000181234
1.0,-0.028278611,0.9721174864428601,ENSG00000130385
1.0,-0.009408541,0.990635580839406,ENSG00000182389
0.104131476,-0.060508175,0.9412860739732974,ENSG00000112031
3.35859e-09,-0.098679969,0.9060326201561004,ENSG00000162910
1.0,0.001687965,1.0016893904148245,ENSG00000100368
1.0,-0.002775327,0.997228520659651,ENSG00000020633
1.0,0.002774929,1.0027787826792152,ENSG00000108821
1.51541e-08,0.097585576,1.1025057855615827,ENSG00000116194
0.000160469,0.077160965,1.0802159393579776,ENSG00000118733
1.0,0.011212855,1.0112759546806116,ENSG00000215545
1.0,0.003024932,1.003029511723422,ENSG00000110427
1.0,0.050654424,1.0519592985754553,ENSG00000122145
1.0,-0.021321382,0.9789043117847673,ENSG00000161911
0.003870881,0.064026053,1.066120174028583,ENSG00000174125
0.003208379,-0.054395097,0.9470578528569303,ENSG00000142156
1.0,0.013593876,1.0136866928356625,ENSG00000167759
1.0,0.001403315,1.001404300107246,ENSG00000082641
1.0,-0.007843042,0.9921876344027458,ENSG00000172752
1.0,-0.029027938,0.9713893254125279,ENSG00000204389
6.23355e-05,0.083101411,1.0866520014268752,ENSG00000135127
0.004297265,0.052982119,1.0544107910314369,ENSG00000090432
1.0,-0.023887942,0.97639511651181,ENSG00000133874
1.0,-0.043641678,0.9572969165702216,ENSG00000133104
1.0,0.016931829,1.0170759848749011,ENSG00000120160
1.0,0.000694677,1.0006949183439493,ENSG00000183807
2.03528e-17,-0.092796093,0.9113793179733242,ENSG00000145934
0.001629567,-0.044168127,0.9567930811992402,ENSG00000063601
1.0,-0.018692611,0.981481012345373,ENSG00000145794
1.0,0.02226104,1.0225106658197747,ENSG00000196924
1.0,0.004810223,1.0048218106950038,ENSG00000271605
1.0,-0.015903542,0.9842222515867023,ENSG00000005108
1.0,-0.0029656,0.9970387930479327,ENSG00000087253
1.0,0.021208751,1.021435255014465,ENSG00000186081
0.640240247,0.052724947,1.0541396609645108,ENSG00000165124
1.0,0.01644355,1.0165794892541393,ENSG00000212122
1.0,-0.036562545,0.964097792514136,ENSG00000173473
1.6585e-13,-0.093631855,0.9106179399814912,ENSG00000100604
1.0,0.009680459,1.0097274662045546,ENSG00000131979
1.0,0.048181963,1.0493615829347789,ENSG00000178821
1.0,0.024228116,1.0245240015532553,ENSG00000172322
1.0,-0.00067212,0.9993281058220512,ENSG00000136758
9.99912e-29,0.139844404,1.1500948347786286,ENSG00000142910
0.051896686,0.048923415,1.050139922694297,ENSG00000135100
1.0,0.002320075,1.0023227684566072,ENSG00000137078
0.437800134,-0.024751238,0.975552562252495,ENSG00000163359
1.0,-0.010313331,0.9897396690393565,ENSG00000157613
2.39893e-08,0.077218392,1.0802779746999618,ENSG00000125810
0.203181769,-0.062536889,0.9393784094441696,ENSG00000177192
0.013546689,-0.042811743,0.9580917405671799,ENSG00000089225
3.6281e-15,-0.081675423,0.9215710309182431,ENSG00000143627
1.0,0.015030043,1.015143562115635,ENSG00000154639
1.0,0.014423037,1.0145275508627474,ENSG00000139626
1.0,-0.001179765,0.9988209306491334,ENSG00000038945
1.0,0.033356507,1.0339190729319157,ENSG00000103174
0.000124264,-0.080729738,0.9224429590383072,ENSG00000284770
1.0,-0.020428022,0.979779216484987,ENSG00000239264
5.81187e-06,0.081849506,1.0852924675342306,ENSG00000128590
1.42244e-11,-0.077809197,0.9251409293691158,ENSG00000129910
2.36884e-05,-0.084644005,0.9188393283917016,ENSG00000159692
1.0,0.033571329,1.0341412053536123,ENSG00000137364
0.075990048,0.067160896,1.0694675373813043,ENSG00000174721
3.61334e-05,0.068160329,1.0705369328361305,ENSG00000214688
1.0,0.026911662,1.0272770511549958,ENSG00000170006
3.86367e-27,-0.139565948,0.8697356639854879,ENSG00000114062
0.000358248,-0.07749234,0.9254341131947937,ENSG00000106638
1.0,-0.011434139,0.9886309823289091,ENSG00000166405
1.0,-0.03329335,0.9672547737788953,ENSG00000178607
1.0,0.036758516,1.037442464830564,ENSG00000267673
1.0,0.054719822,1.0562446367043499,ENSG00000134827
1.0,-0.028825741,0.971585757278256,ENSG00000106333
1.0,0.009437925,1.0094826026583341,ENSG00000187045
6.47898e-13,-0.10934157,0.8964241735943732,ENSG00000126522
1.0,0.046624897,1.047728929097033,ENSG00000092295
0.008738616,0.053753925,1.0552249057353134,ENSG00000153292
1.0,0.011316581,1.011380855730676,ENSG00000196924
1.0,0.04135214,1.0422190479496838,ENSG00000125999
1.0,0.015077543,1.0151917825800625,ENSG00000161653
0.238980644,-0.047026329,0.9540622777539716,ENSG00000188690
1.0,-0.050310296,0.9509343076043733,ENSG00000077454
1.0,0.002521867,1.0025250495813696,ENSG00000100767
2.59569e-13,-0.107367296,0.8981957087057093,ENSG00000151552
1.0,0.030323344,1.0307877791178524,ENSG00000099866
1.0,0.008153044,1.0081863705726681,ENSG00000167098
1.0,0.026879944,1.0272444684982183,ENSG00000170638
1.0,0.032074637,1.0325945721901466,ENSG00000143318
1.0,0.004366343,1.004375889364774,ENSG00000158125
9.995109999999999e-20,-0.101790496,0.9032187597913068,ENSG00000165092
1.0,-0.036340448,0.9643119395213836,ENSG00000110876
0.008543621,-0.054723328,0.946747050121166,ENSG00000250479
0.012123232,0.050839343,1.0521538438239908,ENSG00000133433
1.0,0.017041713,1.0171877513929866,ENSG00000168702
1.0,-0.040522646,0.9602874175963148,ENSG00000118217
1.0,0.020237623,1.020443792134735,ENSG00000204248
1.0,0.021866528,1.0221073526531537,ENSG00000204681
1.0,0.020955342,1.021176446921462,ENSG00000128683
7.73607e-17,-0.095175832,0.9092130516630866,ENSG00000141738
1.0,0.012121709,1.0121954746685418,ENSG00000038945
0.536555984,-0.043223367,0.9576974481682352,ENSG00000139990
1.0,0.036853124,1.0375406198303276,ENSG00000167613
8.91556e-12,-0.088147576,0.9156257423677214,ENSG00000174059
1.0,-0.042588679,0.9583054801811182,ENSG00000131871
1.0,-0.016388776,0.9837447893365029,ENSG00000166347
0.440270886,-0.060400057,0.9413878494428243,ENSG00000076685
1.0,0.008496139,1.0085323336211822,ENSG00000141551
1.0,-0.022161783,0.9780819852126749,ENSG00000168077
4.37985e-42,0.19305061,1.2129441790706479,ENSG00000175928
3.89959e-13,-0.082709664,0.9206183970850551,ENSG00000057704
1.0,0.026277622,1.026625922855988,ENSG00000134250
1.0,0.00547243,1.0054874310967195,ENSG00000134243
1.0,-0.022368164,0.977880148502832,ENSG00000116147
1.0,0.01012204,1.0101734411285883,ENSG00000101347
0.380301322,-0.059986223,0.9417775083636045,ENSG00000123124
1.0,-0.004697931,0.9953130870171264,ENSG00000143578
1.0,0.024125408,1.0244187801457365,ENSG00000134757
1.0,0.022658895,1.022917557737349,ENSG00000166349
1.0,-0.01639276,0.9837408701050693,ENSG00000122512
4.87681e-19,-0.118513817,0.8882395427662549,ENSG00000166228
1.0,0.012052357,1.0121252793221045,ENSG00000170836
3.59921e-07,-0.068864743,0.9334529275827061,ENSG00000110243
1.0,-0.039705489,0.961072443882795,ENSG00000020922
1.0,0.034468419,1.0350693393351351,ENSG00000072609
1.0,0.024619179,1.024924733333454,ENSG00000147485
0.000550225,-0.057984643,0.9436644391803158,ENSG00000159388
2.34816e-16,-0.094223526,0.910079313114986,ENSG00000176444
1.11423e-05,0.060123272,1.0619674493282834,ENSG00000103005
1.0,0.019677376,1.0198722516783851,ENSG00000204435
1.0,-0.042358796,0.9585258036431576,ENSG00000163219
1.0,0.033479558,1.0340463055356481,ENSG00000204577
0.480473589,0.039025287,1.039796776658812,ENSG00000183161
1.0,0.044684368,1.045697752142266,ENSG00000136573
0.012254189,-0.071634797,0.9308707905474596,ENSG00000120594
