Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HPCAL1,Hippocalcin-like protein 1,50281,150,0.92 [0.76-1.12],0.4043933851852384
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HPGDS,Hematopoietic prostaglandin D synthase,48578,144,0.60 [0.47-0.76],3.1930149075732526e-05
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HPSE,Heparanase,42680,128,1.25 [1.04-1.50],0.0161382465480549
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HRAS,GTPase Hras,42384,126,0.98 [0.82-1.18],0.8661211234478096
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HRC,Sarcoplasmic reticulum histidine-rich calcium-binding protein,42091,120,1.44 [0.97-2.13],0.0744021467381653
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HRG,Histidine-rich glycoprotein,43078,131,0.85 [0.50-1.44],0.5425123279210671
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HS1BP3,HCLS1-binding protein 3,42091,120,0.95 [0.78-1.15],0.6093610717041158
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HS3ST3B1,Heparan sulfate glucosamine 3-O-sulfotransferase 3B1,49510,148,0.92 [0.63-1.35],0.669338933805204
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HS6ST1,Heparan-sulfate 6-O-sulfotransferase 1,50162,151,1.99 [1.54-2.57],1.51938895215999e-07
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HS6ST2,Heparan-sulfate 6-O-sulfotransferase 2,41993,123,0.45 [0.27-0.76],0.0024810286404568
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HSBP1,Heat shock factor-binding protein 1,42091,120,0.75 [0.61-0.91],0.0033742426339134
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HSD11B1,Corticosteroid 11-beta-dehydrogenase isozyme 1,49667,147,3.63 [2.57-5.12],2.5524964253551453e-13
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HSD17B14,17-beta-hydroxysteroid dehydrogenase 14,43149,128,2.17 [1.73-2.74],3.603207254986212e-11
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HSD17B3,Testosterone 17-beta-dehydrogenase 3,41817,121,0.88 [0.60-1.29],0.5150770915673377
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HSDL2,Hydroxysteroid dehydrogenase-like protein 2,42091,120,2.12 [1.55-2.89],2.28390971830545e-06
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HSP90B1,Endoplasmin,48359,148,1.06 [0.85-1.31],0.6177151806869474
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HSPA1A,Heat shock 70 kDa protein 1A,49864,152,1.04 [0.85-1.27],0.6925351148435627
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HSPA2,Heat shock-related 70 kDa protein 2,43049,127,0.86 [0.51-1.45],0.5764093110155848
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HSPB1,Heat shock protein beta-1,48941,149,0.97 [0.79-1.19],0.7415806198265946
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HSPB6,Heat shock protein beta-6,50162,151,1.71 [1.24-2.37],0.0011366898599411
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,49357,149,3.42 [2.39-4.89],1.4570688737292793e-11
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HTR1A,5-hydroxytryptamine receptor 1A,41859,122,1.12 [0.91-1.36],0.2838901649800439
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HTR1B,5-hydroxytryptamine receptor 1B,41859,122,1.00 [0.66-1.50],0.9938973020650916
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HTRA2,"Serine protease HTRA2, mitochondrial",49895,151,2.18 [1.77-2.69],3.415408386653912e-13
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HYAL1,Hyaluronidase-1,49456,147,6.03 [4.33-8.39],1.8234712956404508e-26
Chapter XI Diseases of the digestive system,Alcoholic liver disease,HYOU1,Hypoxia up-regulated protein 1,50349,150,0.36 [0.19-0.68],0.0014668462446852
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ICA1,Islet cell autoantigen 1,48809,141,0.95 [0.78-1.15],0.5862482418064046
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ICAM1,Intercellular adhesion molecule 1,49516,149,9.56 [7.30-12.53],2.315778168521898e-60
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ICAM2,Intercellular adhesion molecule 2,50349,150,4.18 [2.63-6.62],1.2689005088227775e-09
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ICAM3,Intercellular adhesion molecule 3,50349,150,7.17 [5.13-10.03],1.1917373268524152e-30
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ICAM4,Intercellular adhesion molecule 4,49667,147,1.18 [0.90-1.56],0.2318235075100211
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ICAM5,Intercellular adhesion molecule 5,49731,150,2.82 [2.10-3.78],4.172199303338508e-12
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ICOSLG,ICOS ligand,49510,148,1.83 [0.86-3.89],0.1146177911633549
Chapter XI Diseases of the digestive system,Alcoholic liver disease,ID4,DNA-binding protein inhibitor ID-4,42463,126,1.43 [1.09-1.87],0.0086922231985458
Chapter XI Diseases of the digestive system,Alcoholic liver disease,IDI2,Isopentenyl-diphosphate delta-isomerase 2,48597,148,1.25 [0.94-1.66],0.1332864497209459
