Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADD1,Alpha-adducin,43761,617,1.00 [0.90-1.12],0.9490293853811456
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADGRB3,Adhesion G protein-coupled receptor B3,50977,726,1.30 [1.07-1.58],0.0071600633417001
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADGRD1,Adhesion G-protein coupled receptor D1,43761,617,2.12 [1.78-2.53],2.5279075997833257e-17
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADGRE1,Adhesion G protein-coupled receptor E1,44550,622,1.56 [1.38-1.77],5.915578075481905e-12
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADGRE2,Adhesion G protein-coupled receptor E2,51684,744,2.05 [1.65-2.54],5.4167203204440654e-11
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADGRE5,Adhesion G protein-coupled receptor E5,51844,748,1.82 [1.51-2.19],3.3257546111175e-10
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADGRF5,Adhesion G protein-coupled receptor F5,44738,627,1.41 [1.08-1.85],0.0124067552392194
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADGRG1,Adhesion G-protein coupled receptor G1,51227,734,1.54 [1.45-1.63],8.372988830331198e-43
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADGRG2,Adhesion G-protein coupled receptor G2,51461,742,0.65 [0.52-0.81],0.0001895607617405
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADGRV1,Adhesion G-protein coupled receptor V1,43301,603,0.92 [0.82-1.04],0.1902890892639381
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADH1B,All-trans-retinol dehydrogenase,43761,617,1.80 [1.67-1.94],7.102948031559461e-50
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,50517,724,1.81 [1.68-1.94],1.3163386583781377e-57
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADIPOQ,Adiponectin,44808,628,0.67 [0.60-0.74],4.246689546648695e-13
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADM,Pro-adrenomedullin,51901,745,2.19 [1.70-2.82],1.32110983732131e-09
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,ADRA2A,Alpha-2A adrenergic receptor,43272,611,1.00 [0.89-1.11],0.9501447586027192
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AFAP1,Actin filament-associated protein 1,43761,617,1.00 [0.91-1.09],0.9328112074293962
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AFM,Afamin,44808,628,6.34 [4.40-9.15],4.625770979504466e-23
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AFP,Alpha-fetoprotein,50894,725,1.03 [0.93-1.14],0.5656987705318135
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AGBL2,Cytosolic carboxypeptidase 2,43301,603,1.01 [0.92-1.10],0.8690242605125046
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AGER,Advanced glycosylation end product-specific receptor,51345,740,0.96 [0.82-1.13],0.6222018204716869
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AGR2,Anterior gradient protein 2 homolog,49847,694,1.21 [1.13-1.29],1.3851594782327604e-08
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AGR3,Anterior gradient protein 3,50164,720,1.35 [1.23-1.49],1.997936950507429e-09
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AGRN,Agrin,51684,744,1.99 [1.71-2.32],6.707994419493522e-19
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AGRP,Agouti-related protein,52026,747,1.42 [1.26-1.61],1.9213859035429225e-08
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AGT,Angiotensinogen,44780,630,1.09 [0.78-1.52],0.6057994257529535
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AGXT,Serine--pyruvate aminotransferase,51461,742,1.77 [1.65-1.90],8.812687383379858e-58
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AHCY,Adenosylhomocysteinase,51461,742,1.18 [1.08-1.30],0.0003927123111142
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AHNAK,Neuroblast differentiation-associated protein AHNAK,43550,617,1.38 [1.10-1.72],0.0048071032674774
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AHNAK2,Protein AHNAK2,43550,617,1.02 [0.79-1.33],0.8563351138222817
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,44533,623,0.97 [0.87-1.09],0.6605744055698551
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AHSG,Alpha-2-HS-glycoprotein,44780,630,1.69 [1.27-2.23],0.0002606181841733
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AHSP,Alpha-hemoglobin-stabilizing protein,51390,728,1.08 [1.00-1.16],0.0533417406643821
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AIDA,"Axin interactor, dorsalization-associated protein",43516,610,0.98 [0.89-1.08],0.7132592730546727
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AIF1,Allograft inflammatory factor 1,50249,720,1.17 [1.04-1.33],0.0120344004725485
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AIF1L,Allograft inflammatory factor 1-like,43550,617,1.02 [0.89-1.17],0.7493850796891988
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AIFM1,"Apoptosis-inducing factor 1, mitochondrial",51143,734,1.30 [1.23-1.38],7.496678489511453e-19
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AK1,Adenylate kinase isoenzyme 1,51461,742,0.97 [0.88-1.08],0.608519362732054
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AK2,"Adenylate kinase 2, mitochondrial",44635,623,1.08 [1.00-1.16],0.045196800725801
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AKAP12,A-kinase anchor protein 12,43761,617,0.80 [0.55-1.17],0.243315370420729
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AKR1B1,Aldo-keto reductase family 1 member B1,50249,720,1.12 [1.03-1.22],0.0086151434986713
Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,AKR1B10,Aldo-keto reductase family 1 member B10,43516,610,1.48 [1.36-1.62],2.7030486143682816e-19
